id Amikacin Capreomycin Ciprofloxacin Ethambutol Ethionamide Isoniazid Kanamycin Moxifloxacin Ofloxacin PAA Prothionamide Pyrazinamide Rifampicin Streptomycin
ERR037509 1 1 1 1 2 1 1 1 1 2 1 1 1 1
ERR037510 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037511 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037512 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037513 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037515 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037516 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037517 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037518 1 1 1 1 1 2 1 1 1 1 1 1 1 2
ERR037519 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037520 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR037521 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037522 2 2 1 1 1 2 2 2 1 1 2 1 1 1
ERR037523 1 1 1 1 1 1 1 1 1 2 1 1 1 2
ERR037524 1 1 1 1 1 1 1 2 1 2 1 1 1 1
ERR037525 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037527 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR037528 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037530 1 1 2 1 1 1 1 1 1 1 1 1 1 1
ERR037531 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037532 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037533 1 1 1 1 1 1 1 1 1 2 2 1 1 1
ERR037534 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037535 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037536 1 1 1 1 2 1 1 1 1 2 1 1 1 1
ERR037538 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037539 1 1 1 1 1 1 1 1 1 2 2 1 1 1
ERR037540 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037541 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037542 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037543 1 1 1 1 2 1 1 1 1 2 1 1 1 1
ERR037544 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR037545 1 1 1 1 1 1 1 1 1 1 1 1 1 2
ERR037546 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037547 1 1 1 1 1 1 1 1 1 1 2 1 1 1
ERR037548 1 1 2 1 2 1 1 2 2 1 2 1 1 1
ERR037549 2 2 1 1 1 1 2 1 1 1 1 1 1 1
ERR037550 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037551 2 2 2 1 2 1 2 2 2 1 1 1 1 1
ERR037553 2 1 2 1 1 1 2 1 1 1 1 1 1 1
ERR037554 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR037555 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR038736 1 1 2 2 2 2 1 1 1 1 1 1 2 1
ERR038740 1 1 2 2 1 2 1 1 1 1 2 2 2 1
ERR038741 2 2 2 2 2 2 2 2 2 1 2 2 2 1
ERR038742 1 1 1 2 1 2 1 1 1 1 2 2 2 2
ERR038743 1 1 1 2 1 2 1 1 1 1 1 1 2 1
ERR038744 1 1 1 2 1 2 1 1 1 1 1 2 2 2
ERR038745 1 1 1 2 1 2 1 1 1 1 1 2 2 1
ERR038746 1 1 1 2 1 2 1 1 1 1 2 2 2 2
ERR038747 1 1 1 2 1 2 1 1 1 1 2 2 2 2
ERR038748 2 2 2 2 1 2 2 1 1 1 1 2 2 1
ERR038749 1 1 1 2 2 2 1 1 1 1 2 2 2 2
ERR038750 1 1 1 2 1 2 1 2 1 2 2 1 2 2
